	Dataset	Level	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Taxon Accuracy Rate	Taxon Detection Rate
97	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.8	0.1148207965362015	0.1141360040443236	0.11447737620896044	0.35714285714285715	0.45454545454545453
98	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.51:0.8	0.032492786350520636	0.032484228217380944	0.032488506720354235	0.09090909090909091	0.1111111111111111
99	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.8	0.08990756331397547	0.08937135361871319	0.08963865658500153	0.1875	0.25
100	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.97	1.0	1.0	1.0	1.0	1.0
101	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.97	1.0	1.0	1.0	1.0	1.0
102	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.97	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
103	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.97	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
104	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.97	0.5345223313391279	0.5345223313391279	0.5345223313391279	0.75	0.75
105	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.97	0.4772575113746601	0.4772575113746601	0.47725751137466005	0.7777777777777778	0.7777777777777778
106	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.97	0.14141300121659078	0.14141300121659078	0.14141300121659078	0.2727272727272727	0.3333333333333333
107	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.97	0.16282501468799956	0.16282501468799956	0.16282501468799956	0.35714285714285715	0.45454545454545453
108	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.97	0.07517778530308161	0.07517778530308161	0.07517778530308161	0.09090909090909091	0.1111111111111111
109	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.97	0.13806036426238916	0.13806036426238916	0.13806036426238916	0.1875	0.25
110	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.97	1.0	1.0	1.0	1.0	1.0
111	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.97	1.0	1.0	1.0	1.0	1.0
112	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.97	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
113	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.97	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
114	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.97	0.5342589457049328	0.5342589457049328	0.5342589457049328	0.6666666666666666	0.75
115	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.97	0.47129350038940276	0.47129350038940276	0.47129350038940276	0.7	0.7777777777777778
116	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.97	0.09871944413089012	0.09871944413089012	0.09871944413089011	0.2727272727272727	0.3333333333333333
117	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.97	0.1141360040443236	0.1141360040443236	0.1141360040443236	0.35714285714285715	0.45454545454545453
118	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.97	0.032484228217380944	0.032484228217380944	0.032484228217380944	0.09090909090909091	0.1111111111111111
119	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.97	0.08937135361871319	0.08937135361871319	0.08937135361871319	0.1875	0.25
120	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.8	1.0	1.0	1.0	1.0	1.0
121	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.8	1.0	1.0	1.0	1.0	1.0
122	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.8	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
123	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.8	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
124	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.8	0.5343996989085434	0.5342589457049328	0.5343293130374245	0.6666666666666666	0.75
125	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.8	0.4741211642211608	0.47129350038940276	0.47270310364084234	0.7	0.7777777777777778
126	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.8	0.1414502571822858	0.14141300121659078	0.14143162674594362	0.2727272727272727	0.3333333333333333
127	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.8	0.16380193120511322	0.16282501468799956	0.16331201200481013	0.35714285714285715	0.45454545454545453
128	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.8	0.07519759126834775	0.07517778530308161	0.07518768698139124	0.09090909090909091	0.1111111111111111
129	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.8	0.1388886979828872	0.13806036426238916	0.1384732923808512	0.1875	0.25
130	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.8	1.0	1.0	1.0	1.0	1.0
131	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.8	1.0	1.0	1.0	1.0	1.0
