	Dataset	Level	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Taxon Accuracy Rate	Taxon Detection Rate
83	fuhrman_18Sv4	3	MP_ERR3712077	rcrux-18sv4	blast+	0.001:10:0.51:0.97	0.0	0.0	0.0	0.1111111111111111	0.09090909090909091
84	fuhrman_18Sv4	4	MP_ERR3712072	rcrux-18sv4	blast+	0.001:10:0.51:0.97	0.0	0.0	0.0	0.0	0.0
85	fuhrman_18Sv4	4	MP_ERR3712077	rcrux-18sv4	blast+	0.001:10:0.51:0.97	0.0	0.0	0.0	0.0	0.0
86	fuhrman_18Sv4	5	MP_ERR3712072	rcrux-18sv4	blast+	0.001:10:0.51:0.97	0.0	0.0	0.0	0.0	0.0
87	fuhrman_18Sv4	5	MP_ERR3712077	rcrux-18sv4	blast+	0.001:10:0.51:0.97	0.0	0.0	0.0	0.0	0.0
88	fuhrman_18Sv4	6	MP_ERR3712072	rcrux-18sv4	blast+	0.001:10:0.51:0.97	0.0	0.0	0.0	0.0	0.0
89	fuhrman_18Sv4	6	MP_ERR3712077	rcrux-18sv4	blast+	0.001:10:0.51:0.97	0.0	0.0	0.0	0.0	0.0
90	fuhrman_18Sv4	2	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.51:0.97	0.0	0.0	0.0	0.3333333333333333	0.2857142857142857
91	fuhrman_18Sv4	2	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.51:0.97	0.0	0.0	0.0	0.375	0.375
92	fuhrman_18Sv4	3	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.51:0.97	0.0	0.0	0.0	0.14285714285714285	0.1111111111111111
93	fuhrman_18Sv4	3	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.51:0.97	0.0	0.0	0.0	0.1111111111111111	0.09090909090909091
94	fuhrman_18Sv4	4	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.51:0.97	0.0	0.0	0.0	0.0	0.0
95	fuhrman_18Sv4	4	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.51:0.97	0.0	0.0	0.0	0.0	0.0
96	fuhrman_18Sv4	5	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.51:0.97	0.0	0.0	0.0	0.0	0.0
97	fuhrman_18Sv4	5	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.51:0.97	0.0	0.0	0.0	0.0	0.0
98	fuhrman_18Sv4	6	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.51:0.97	0.0	0.0	0.0	0.0	0.0
99	fuhrman_18Sv4	6	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.51:0.97	0.0	0.0	0.0	0.0	0.0
100	fuhrman_18Sv4	2	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.75:0.8	0.0	0.0	0.0	0.4	0.2857142857142857
101	fuhrman_18Sv4	2	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.75:0.8	0.0	0.0	0.0	0.42857142857142855	0.375
102	fuhrman_18Sv4	3	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.75:0.8	0.0	0.0	0.0	0.125	0.1111111111111111
103	fuhrman_18Sv4	3	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.75:0.8	0.0	0.0	0.0	0.1	0.09090909090909091
104	fuhrman_18Sv4	4	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.75:0.8	0.0	0.0	0.0	0.0	0.0
105	fuhrman_18Sv4	4	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.75:0.8	0.0	0.0	0.0	0.0	0.0
106	fuhrman_18Sv4	5	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.75:0.8	0.0	0.0	0.0	0.0	0.0
107	fuhrman_18Sv4	5	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.75:0.8	0.0	0.0	0.0	0.0	0.0
108	fuhrman_18Sv4	6	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.75:0.8	0.0	0.0	0.0	0.0	0.0
109	fuhrman_18Sv4	6	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.75:0.8	0.0	0.0	0.0	0.0	0.0
110	fuhrman_18Sv4	2	MP_ERR3712072	rcrux-18sv4	blast+	0.001:10:0.75:0.8	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285
111	fuhrman_18Sv4	2	MP_ERR3712077	rcrux-18sv4	blast+	0.001:10:0.75:0.8	0.0	0.0	0.0	0.25	0.25
112	fuhrman_18Sv4	3	MP_ERR3712072	rcrux-18sv4	blast+	0.001:10:0.75:0.8	0.0	0.0	0.0	0.0	0.0
113	fuhrman_18Sv4	3	MP_ERR3712077	rcrux-18sv4	blast+	0.001:10:0.75:0.8	0.0	0.0	0.0	0.0	0.0
114	fuhrman_18Sv4	4	MP_ERR3712072	rcrux-18sv4	blast+	0.001:10:0.75:0.8	0.0	0.0	0.0	0.0	0.0
115	fuhrman_18Sv4	4	MP_ERR3712077	rcrux-18sv4	blast+	0.001:10:0.75:0.8	0.0	0.0	0.0	0.0	0.0
116	fuhrman_18Sv4	5	MP_ERR3712072	rcrux-18sv4	blast+	0.001:10:0.75:0.8	0.0	0.0	0.0	0.0	0.0
117	fuhrman_18Sv4	5	MP_ERR3712077	rcrux-18sv4	blast+	0.001:10:0.75:0.8	0.0	0.0	0.0	0.0	0.0
118	fuhrman_18Sv4	6	MP_ERR3712072	rcrux-18sv4	blast+	0.001:10:0.75:0.8	0.0	0.0	0.0	0.0	0.0
119	fuhrman_18Sv4	6	MP_ERR3712077	rcrux-18sv4	blast+	0.001:10:0.75:0.8	0.0	0.0	0.0	0.0	0.0
120	fuhrman_18Sv4	2	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.51:0.8	0.0	0.0	0.0	0.4	0.2857142857142857
121	fuhrman_18Sv4	2	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.51:0.8	0.0	0.0	0.0	0.42857142857142855	0.375
122	fuhrman_18Sv4	3	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.51:0.8	0.0	0.0	0.0	0.125	0.1111111111111111
123	fuhrman_18Sv4	3	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.51:0.8	0.0	0.0	0.0	0.1	0.09090909090909091
124	fuhrman_18Sv4	4	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.51:0.8	0.0	0.0	0.0	0.0	0.0
125	fuhrman_18Sv4	4	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.51:0.8	0.0	0.0	0.0	0.0	0.0
126	fuhrman_18Sv4	5	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.51:0.8	0.0	0.0	0.0	0.0	0.0
127	fuhrman_18Sv4	5	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.51:0.8	0.0	0.0	0.0	0.0	0.0
128	fuhrman_18Sv4	6	MP_ERR3712072	rcrux-18sv4	blast+	0.001:1:0.51:0.8	0.0	0.0	0.0	0.0	0.0
129	fuhrman_18Sv4	6	MP_ERR3712077	rcrux-18sv4	blast+	0.001:1:0.51:0.8	0.0	0.0	0.0	0.0	0.0
